id;texte
1;Pour s'amuser les longs soirs d'hiver, rien ne vaut {0}
2;J'ai beaucoup de mal à assumer {0}
3;On sous-estime beaucoup le potentiel de {0}
4;Lors de ma première fois, il y'avait un documentaire sur {0} qui passait à la télé
5;Il y a {0} dans mon {1}
6;Le secret du bonheur, {0} tout les matins
7;Impossible de {0} sans {1}
8;Je n'ai jamais testé {0} avec {1}
9;Mon petit plaisir coupable c'est {0}
10;Ma dernière recherche internet était {0}
11;Je n'ai compris les féministes qu'après avoir vu {0}
12;La dernière fois que je suis allé sur un rond point, un gilet jaune faisait {0} avec {1}
13;Je préfére faire {0} plutôt que {1}
14;Je suis venu, j'ai vu et j'ai {0}
15;Pour séduire ma femme, j'ai du {0}
16;La solution pour résoudre la faim dans le monde est de {0}
17;Je n'ai jamais compris pourquoi {0} avait fait le buzz
18;La premiere chose que je fait en rentrant c'est {0}
19;Mon premier reflexe quand je vois ma cousine, c'est {0}
20;Une fois, on m'a proposé de {0} mais j'avais {1} à faire
21;Jesus a dit {0}, j'ai fait {1}
22;La seconde guerre mondiale, c'était {0}
23;Pour lutter contre la drogue, la police de marseille à décider d'utiliser {0}
24;{0} à été proposé dans le dernier programme de Philippe POUTOU
25;{0} aurait du etre {1}
26;Pour lutter contre le covid, la Chine a décidé de {0}
27;Bourré, j'ai confondu {0} et {1}
28;Le dernier tweet de Sardine RUISSEAU parlait de {0}
29;{0} avec {1}, le fleuron de la gastronomie
30;J'ai apprécié la dernière inteview entre {0} et Alice COFFIN
31;Enfant, je confondais fréquement {0} et {1}
32;Quand j'ai du mal à {0}, j'essaie de penser à {1}
33;Le dernier service que j'ai rendu à un ami était {0}
34;{0} la dernière catégorie de Pornhub
35;Je prefere mettre les doigts dans {0} que {1}
36;L'an prochain, je prévois de me reconvertir dans {0}
37;La {0} avec {1} c'est tout ce dont j'ai besoin pour {2}
38;En achetant un meuble chez IKEA, a la place de la notice j'ai trouvé {0}
39;Avoir fait {0} avec mon chat, un vrai plaisir
40;J'ai aperçu {0} dans les quariters chaud d'Amsterdam
41;Le sujet du dernier livre que j'ai lu est {0}
42;Le sujet du dernier bac de philo c'est {0}
43;Pour {0}, je me suis inspiré de {1}
44;On a retrouvé un essai de Freud qui parlait de {0}
45;Oublier de couper le son de son telephone en regardant une vidéo de {0} à détruit ma famille
46;Le dernier régime des stars holywoodienne consiste à {0}
47;Pour la fête des mères, j'ai offert {0}… Elle a adoré
48;"Le dernier slogan de Jean Luc Mélanchon : ""{0}"""
49;Je n'ai jamais {0}, éxépté une fois au chalet
50;Prendre sa grand-mère en levrette, c'est comme {0}
51;Ma plus grande crainte dans une partouze c'est {0}
52;La sortie scolaire qui m'a le plus marqué avait pour sujet {0}
53;Mussolini
54;Stériliser les Ouighours
55;Eric Zemmour
56;La théorie du genre
57;Un chinois obèse
58;Un nain unijambiste
59;Un creampie
60;Une MILF
61;La nonna della Morte
62;Un violeur au grand cœur
63;Le dernier tweet du JDG
64;Une chèvre
65;Un chiot
66;Une erection soudaine
67;Un sandwich Jambon-Beurre
68;De la farine récupéré aux Coteaux
69;Un concours de fist-fucking
70;Fiste moi ça vaut mieux
71;sympa au début, un peu long sur la fin
72;La quadrisomie
73;Le livreur GLS
74;Yelle
75;La réforme des retraites
76;Une barmaid avec une jupe un peu courte
77;Ta mère
78;Du tuning de fauteuil roulant
79;La direction du CRM
80;Un combat de boxe avec J.K.Rowling
81;Une interview de Nadine MORANO
82;L'arrivée de l'extrême droite en Italie
83;Clifford, le gros chien rouge
84;Un épisode censuré de Pokémon
85;Dora l'exploratrice
86;Les joueurs de Fortnite
87;Un documentaire sur les poulpes
88;La police
89;Du guacamole
90;Titanic
91;Le syndrome de la page blanche
92;Pikachu
93;Le pape
94;Samuel Patty
95;Une nuit toride
96;Du sable dans la raie
97;Des calins
98;Une séance BDSM qui tourne mal
99;La petite Greta
100;Simone Veil
101;L'humour noir de Jeremy Ferrari
102;Un cockring
103;Un hétéro un peu trop curieux
104;Le massage du périné
105;Les fans d'anne Roumanof
106;les sondages d'Anne Hidalgo
107;La SNCF
108;Mon oncle bourré
109;La vidéo de Tiktok à la mode
110;La sextape de Benjamin Griveaux
111;Daniel Cohn-Bendit
112;Un bodybuilder
113;Les vegans
114;LREM
115;L'adoption pour les nuls
116;Une course de trisomique
117;Au fond du fun
118;La mécanophilie
119;Mettre son penis dans un yaourt
120;Le pony-play
121;Pour le travail
122;Se tromper de trou
123;Se masturber à l'aide d'un Crucifix
124;Un bégue dyslexique
125;Les joueurs de Yuumi
126;Un ninja-clown
127;Squeezie
128;Le youtubeur Norman
129;Une diahrée sanglante
130;L'hélicobite
131;Dans ton cul
132;Un séjour wonderbox à la Fistinière
133;Un architecte d'intérieur un peu trop sexy
